month,week_day,hour,season,holiday,workingday,weather,temp,humidity,windspeed,count
1,5,0,1.0,0.0,0.0,1.0,10,81,0,16.0
1,5,1,1.0,0.0,0.0,1.0,9,80,0,40.0
1,5,2,1.0,0.0,0.0,1.0,9,80,0,32.0
1,5,3,1.0,0.0,0.0,1.0,10,75,0,13.0
1,5,4,1.0,0.0,0.0,1.0,10,75,0,1.0
1,5,5,1.0,0.0,0.0,2.0,10,75,6,1.0
1,5,6,1.0,0.0,0.0,1.0,9,80,0,2.0
1,5,7,1.0,0.0,0.0,1.0,8,86,0,3.0
1,5,8,1.0,0.0,0.0,1.0,10,75,0,8.0
1,5,9,1.0,0.0,0.0,1.0,13,76,0,14.0
1,5,10,1.0,0.0,0.0,1.0,16,76,17,36.0
1,5,11,1.0,0.0,0.0,1.0,15,81,19,56.0
1,5,12,1.0,0.0,0.0,1.0,17,77,19,84.0
1,5,13,1.0,0.0,0.0,2.0,19,72,20,94.0
1,5,14,1.0,0.0,0.0,2.0,19,72,19,106.0
1,5,15,1.0,0.0,0.0,2.0,18,77,20,110.0
1,5,16,1.0,0.0,0.0,2.0,17,82,20,93.0
1,5,17,1.0,0.0,0.0,2.0,18,82,19,67.0
1,5,18,1.0,0.0,0.0,3.0,17,88,17,35.0
1,5,19,1.0,0.0,0.0,3.0,17,88,17,37.0
1,5,20,1.0,0.0,0.0,2.0,16,87,17,36.0
1,5,21,1.0,0.0,0.0,2.0,16,87,13,34.0
1,5,22,1.0,0.0,0.0,2.0,16,94,15,28.0
1,5,23,1.0,0.0,0.0,2.0,19,88,20,39.0
1,6,0,1.0,0.0,0.0,2.0,19,88,20,17.0
1,6,1,1.0,0.0,0.0,2.0,18,94,17,17.0
1,6,2,1.0,0.0,0.0,2.0,17,100,19,9.0
1,6,3,1.0,0.0,0.0,2.0,19,94,13,6.0
1,6,4,1.0,0.0,0.0,2.0,19,94,13,3.0
1,6,6,1.0,0.0,0.0,3.0,17,77,20,2.0
1,6,7,1.0,0.0,0.0,2.0,16,76,13,1.0
1,6,8,1.0,0.0,0.0,3.0,16,71,15,8.0
1,6,9,1.0,0.0,0.0,2.0,16,76,15,20.0
1,6,10,1.0,0.0,0.0,2.0,15,81,15,53.0
1,6,11,1.0,0.0,0.0,2.0,15,71,17,70.0
